Ordem segundo o IDH;Bairro ou grupo de bairros;Esperança de vida ao nascer (em anos);Taxa de alfabetização de adultos (%);Taxa bruta de frequência escolar (%);Renda per capita (em R$ de 2000);Índice de Longevidade (IDH-L);Índice de Educação (IDH-E);Índice de Renda (IDH-R);Índice de Desenvolvimento Humano Municipal (IDH)
1;Gávea;80,45;98,08;118,13;2139,56;0,924;0,987;1;0,97
2;Leblon;79,47;99,01;105,18;2441,28;0,908;0,993;1;0,967
3;Jardim Guanabara;80,47;98,92;111,15;1316,86;0,924;0,993;0,972;0,963
4;Ipanema;78,68;98,78;107,98;2465,45;0,895;0,992;1;0,962
5;Lagoa;77,91;99,46;115,26;2955,29;0,882;0,996;1;0,959
6;Flamengo;77,91;99,28;119,08;1781,71;0,882;0,995;1;0,959
7;Humaitá;77,91;99,28;122,2;1830,65;0,882;0,995;1;0,959
8;Joá, Barra da Tijuca;77,84;99,38;110,09;2488,47;0,881;0,996;1;0,959
9;Laranjeiras;77,84;98,74;115,98;1679,22;0,881;0,992;1;0,957
10;Jardim Botânico;77,84;98,71;104,89;1952,77;0,881;0,991;1;0,957
11;Copacabana;77,78;98,48;107,54;1623,42;0,88;0,99;1;0,956
12;Leme;77,47;98,75;112,07;1713,89;0,875;0,992;1;0,955
13;Botafogo, Urca;78,25;98,46;113,01;1376,47;0,888;0,99;0,979;0,952
14;Maracanã;77,91;98,91;113,97;1206,73;0,882;0,993;0,957;0,944
15;Glória;77,37;99,06;114,55;1183,28;0,873;0,994;0,954;0,94
16;Grajaú;77,84;97,9;107;1134,93;0,881;0,986;0,947;0,938
17;Méier;77,37;99,01;108,63;1000,16;0,873;0,993;0,926;0,931
18;Tijuca, Alto da Boa Vista;75,04;98,02;107,38;1204,61;0,834;0,987;0,957;0,926
19;Todos os Santos;77,91;98,55;108,2;825,91;0,882;0,99;0,894;0,922
20;Anil;77,15;97,3;101,85;768,26;0,869;0,982;0,882;0,911
21;Vila da Penha;77,64;98,79;103,71;669,34;0,877;0,992;0,859;0,909
22;Andaraí;74,99;98,05;103,85;897,07;0,833;0,987;0,908;0,909
23;Riachuelo;76,44;98,31;102,75;715,92;0,857;0,989;0,87;0,905
24;Campinho, Vila Valqueire;77,47;97,86;96,69;684,94;0,875;0,975;0,863;0,904
25;Moneró, Portuguesa;76,43;97,21;100,52;730,4;0,857;0,981;0,873;0,904
26;Catete;74,99;96,65;100,4;822,22;0,833;0,978;0,893;0,901
27;Vila Isabel;73,46;97,16;100,89;931,25;0,808;0,981;0,914;0,901
28;Cachambi;75,7;98,14;102,23;709,05;0,845;0,988;0,868;0,9
29;Pechincha;75,67;97,72;97,92;751,28;0,844;0,978;0,878;0,9
30;Freguesia (Jacarepaguá);75,07;97,46;98,82;766,82;0,834;0,979;0,882;0,898
31;Recreio dos Bandeirantes, Grumari;72,55;95,03;91,75;1166,18;0,793;0,939;0,952;0,894
32;Centro;76,12;97,58;99,24;633,36;0,852;0,981;0,85;0,894
33;Higienópolis;74,06;97,46;100,28;614,41;0,818;0,983;0,845;0,882
34;Santa Teresa, Cosme Velho;74,06;96,14;92,6;701,19;0,818;0,95;0,867;0,878
35;Água Santa, Encantado;76,21;97,48;95,65;496,66;0,853;0,969;0,809;0,877
36;Taquara;76,21;96,53;92,28;544,29;0,853;0,951;0,824;0,876
37;Vila Cosmos;77,2;97,58;89,46;498,82;0,87;0,949;0,81;0,876
38;Vidigal, São Conrado;71,12;94,76;82;1131,47;0,769;0,905;0,946;0,873
39;Cidade Nova, Praça da Bandeira;72,05;96,29;96,84;640,31;0,784;0,965;0,851;0,867
40;Bonsucesso;74,7;95,72;86,94;552,99;0,828;0,928;0,827;0,861
41;Cocotá, Bancários;74,06;96,48;91,67;518,28;0,818;0,949;0,816;0,861
42;Maria da Graça, Del Castilho;72,66;98,35;95,47;505,4;0,794;0,974;0,812;0,86
43;Ribeira, Cacuia;72,85;96,48;95,37;527,2;0,797;0,961;0,819;0,859
44;Lins de Vasconcelos;72,73;95,54;92,3;583,35;0,795;0,945;0,836;0,859
45;Engenho Novo;72,37;96,29;93,33;573,33;0,789;0,953;0,833;0,858
