REGIAO GEOGRÁFICA,NATUREZA,ANO,SEXO,IDADE
RECIFE,AMEAÇA POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,4) 25-29
RECIFE,AMEAÇA POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,5) 30-34
RECIFE,AMEAÇA POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,6) 35-64
RECIFE,AMEAÇA POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,MASCULINO,7) 65 OU MAIS
RECIFE,INJÚRIA POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,4) 25-29
RECIFE,INJÚRIA POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,5) 30-34
RECIFE,INJÚRIA POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,6) 35-64
RECIFE,LESÃO CORPORAL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,3) 18-24
RECIFE,LESÃO CORPORAL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,4) 25-29
RECIFE,LESÃO CORPORAL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,5) 30-34
RECIFE,LESÃO CORPORAL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,6) 35-64
RECIFE,LESÃO CORPORAL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,MASCULINO,4) 25-29
RECIFE,MAUS TRATOS POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,1) 00-11
RECIFE,OUTROS CRIMES POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,6) 35-64
RECIFE,VIAS DE FATOS POR VIOLÊNCIA DOMÉSTICA/FAMILIAR ,2022,FEMININO,6) 35-64
RECIFE,AMEAÇA POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,3) 18-24
RECIFE,AMEAÇA POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,4) 25-29
RECIFE,AMEAÇA POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,5) 30-34
RECIFE,AMEAÇA POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,6) 35-64
RECIFE,DANO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,4) 25-29
RECIFE,DANO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,6) 35-64
RECIFE,DIFAMAÇÃO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,5) 30-34
RECIFE,DIFAMAÇÃO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,6) 35-64
RECIFE,LESÃO CORPORAL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,1) 00-11
RECIFE,LESÃO CORPORAL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,4) 25-29
RECIFE,LESÃO CORPORAL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,6) 35-64
RECIFE,MAUS TRATOS POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,1) 00-11
RECIFE,PERSEGUIÇÃO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,6) 35-64
RECIFE,PERTURBAÇÃO DO SOSSEGO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,6) 35-64
RECIFE,VIAS DE FATOS POR VIOLÊNCIA DOMÉSTICA/FAMILIAR ,2022,FEMININO,4) 25-29
RECIFE,VIAS DE FATOS POR VIOLÊNCIA DOMÉSTICA/FAMILIAR ,2022,FEMININO,6) 35-64
RECIFE,AMEAÇA POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,3) 18-24
RECIFE,AMEAÇA POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,5) 30-34
RECIFE,AMEAÇA POR VIOLÊNCIA DOMÉSTICA/FAMILIAR,2022,FEMININO,6) 35-64
